hour_of_day,day_of_week,priority,weather_score,track_occupancy,delay_minutes
6,3,1,0.1834347898661638,0.7237528002182154,29.524987800596506
22,2,3,0.8661761457749352,0.5808920093945671,52.45348737858333
23,2,2,0.056411579027100256,0.6775990178134598,21.514435113863733
9,3,3,0.45606998421703593,0.728140769114411,25.04351122105688
18,3,3,0.9832308858067882,0.473410314598384,35.93588353174327
8,6,2,0.9488855372533332,0.8725056264596475,50.389913713172945
17,1,1,0.015966252220214194,0.2847150604977192,27.381977297020118
11,4,3,0.17336465350777208,0.4128484860585927,14.660020361034332
17,3,2,0.4251558744912447,0.2663533302945511,22.49841744424316
17,1,2,0.3951502360018144,0.8413270926350354,31.189483894648063
15,6,2,0.1959828624191452,0.13618183112843046,15.96238471530936
17,6,1,0.5867511656638482,0.8722042458113104,39.818087000446624
12,0,1,0.8021969807540397,0.15964051494381667,39.25977528636844
2,2,1,0.6059599747810114,0.8410407028106792,48.61229463371399
8,3,3,0.8500385777897993,0.45956053931056273,28.894179645454425
23,4,3,0.5912977877077271,0.3197774343920513,21.622617270035313
2,0,3,0.1195942459383017,0.670595829778396,21.064778420526114
13,6,3,0.5227328293819941,0.44203281468683975,37.465514472602166
9,3,1,0.2017192023353962,0.8166108765388155,57.618829400911395
3,5,1,0.24929222914887494,0.42830633842850385,26.410439659405057
10,4,1,0.07697990982879299,0.3318011623310144,26.53109894678913
5,3,2,0.8832802589188683,0.35947601680421915,44.63961195976093
22,3,1,0.3180034749718639,0.18804153962214143,24.1806925937694
19,4,1,0.30478125815802903,0.2317246825143534,24.571495400875882
8,5,1,0.6924360328902703,0.3155298670388172,33.58166866338766
23,0,1,0.06489224710898156,0.30313233114747573,20.84482990939177
11,5,3,0.49724850589238545,0.34070264785341575,20.65781193505921
21,6,1,0.345071248026683,0.607481075761091,55.646062221802886
1,4,2,0.9856504541106007,0.2936442172092003,45.545900485500226
16,6,2,0.3677831327192532,0.6058446644748636,33.96266294837576
5,5,3,0.8164318732193839,0.7386760999876409,32.68977359768431
15,4,3,0.5908929431882418,0.642051489473826,26.448631205872225
18,1,3,0.8095010461397154,0.3789327898333835,31.154141180189335
7,0,3,0.3410663510502585,0.19077881699247126,14.683009275892239
22,6,2,0.6957843993450822,0.2828400174378397,28.15828824846924
0,5,1,0.9004180571633305,0.6064811658186143,43.29536354950567
8,0,3,0.7003578299727713,0.7773289137906447,30.667090306315096
0,3,3,0.9356349942209475,0.7282725208911549,45.289712386245775
7,3,2,0.009197051616629648,0.1811772342928257,14.649929666639693
21,2,1,0.22426930946055978,0.6697433770780287,29.531536845381627
0,5,1,0.1788227092213288,0.393175027666288,33.146374589185335
0,3,3,0.3677158030594335,0.31216189414538037,26.62088283550236
13,5,2,0.978892858275009,0.48939372236756407,36.918763001013644
20,5,1,0.5769038846263591,0.49401415505509116,42.66990861188809
4,3,1,0.4991933798847523,0.5576033593673465,33.34791798820524
13,4,2,0.3701587002554444,0.11236529322309395,20.994640454600525
23,4,1,0.5527649668354899,0.5578339753366707,34.42280896675986
0,2,2,0.5568012624583502,0.8489238193286248,33.86988253909637
2,5,2,0.6150072266991697,0.8920430800834106,36.26287791969455
1,1,1,0.8486697949246744,0.20929706515362306,35.11285187579784
21,6,1,0.2965101436477985,0.4358246851570212,34.035546461951085
6,0,1,0.19427395351204224,0.15675273359994213,21.236770074239978
13,5,3,0.3379951568515358,0.4004663621119552,19.41712654980343
21,2,1,0.1550416167277442,0.8854727106484249,31.38292299428126
21,1,2,0.03050024993904943,0.12987855099937154,12.55818326377156
4,0,1,0.2715429158197419,0.8722014643126158,44.403386250757734
6,3,2,0.0516817211686077,0.5250837052545184,40.34933089544319
19,4,2,0.5163003483011953,0.35836517835299675,32.04067486449897
16,6,3,0.4389714207056361,0.16276510507381275,21.270777780024485
20,0,2,0.9152137276264805,0.45388178378488353,43.77005325100408
21,0,1,0.27993389694594284,0.8638922245305553,37.330023961481274
21,4,3,0.04771612769164879,0.5528297683952611,30.76027894455679
18,4,2,0.014393488629755868,0.192858112405533,17.618935740140394
11,1,2,0.49161587511683236,0.4787774166244526,34.7603192859968
0,5,2,0.6497736826427634,0.13844713935762698,25.090316855166435
23,4,1,0.1629344270814297,0.1564549979203439,28.164866328350275
22,1,1,0.8671989335550038,0.609122877956809,47.55920724380025
